region,group_or_crop,year,Yield_t_ha,Area_ha,N_kg_ha,P2O5_kg_ha,K_kg_ha,Mineral_treated_share,Org_kg_ha_or_share,Irrig_m3_ha,Irrig_mm,Yield_t_ha_lag1,Area_ha_lag1,N_kg_ha_lag1,P2O5_kg_ha_lag1,K_kg_ha_lag1,Mineral_treated_share_lag1,Org_kg_ha_or_share_lag1,Irrig_m3_ha_lag1,Irrig_mm_lag1,Yield_t_ha_lag2,Area_ha_lag2,N_kg_ha_lag2,P2O5_kg_ha_lag2,K_kg_ha_lag2,Mineral_treated_share_lag2,Org_kg_ha_or_share_lag2,Irrig_m3_ha_lag2,Irrig_mm_lag2,Yield_t_ha_lag3,Area_ha_lag3,N_kg_ha_lag3,P2O5_kg_ha_lag3,K_kg_ha_lag3,Mineral_treated_share_lag3,Org_kg_ha_or_share_lag3,Irrig_m3_ha_lag3,Irrig_mm_lag3,ma5_Yield,ma5_N,ma5_P2O5,ma5_K,ma5_MineralShare,ma5_Org,ma5_Irrig_m3,ma5_Irrig_mm,Yield_anom
Черкаська область,Пшениця,2017,3.7399999999999998,196800.0,102.0,16.7,16.3,0.7515243902439024,0.003048780487804878,15.143866733972741,1.5143866733972742,5.26,233500.0,91.1,15.2,14.7,0.7897216274089935,0.0021413276231263384,8.368901163277261,0.8368901163277261,5.05,254600.0,82.0,12.2,12.9,0.7741555380989787,0.0019638648860958365,9.16208562385474,0.916208562385474,5.04,210200.0,91.0,13.6,11.4,0.7725975261655567,0.004281636536631779,8.330556481172943,0.8330556481172943,4.965999999999999,87.82,13.16,12.639999999999999,0.7893471057683288,0.003104593143685718,8.161848244206775,0.8161848244206775,-1.2259999999999995
Черкаська область,Пшениця,2018,4.83,203000.0,110.1,20.8,16.2,0.7083743842364532,0.002955665024630542,19.36515955207544,1.936515955207544,3.7399999999999998,196800.0,102.0,16.7,16.3,0.7515243902439024,0.003048780487804878,15.143866733972741,1.5143866733972742,5.26,233500.0,91.1,15.2,14.7,0.7897216274089935,0.0021413276231263384,8.368901163277261,0.8368901163277261,5.05,254600.0,82.0,12.2,12.9,0.7741555380989787,0.0019638648860958365,9.16208562385474,0.916208562385474,4.8420000000000005,90.74,14.319999999999999,13.559999999999999,0.7761176219657769,0.003153339423574884,9.697341352076485,0.9697341352076485,-0.012000000000000455
Черкаська область,Пшениця,2019,5.4399999999999995,199200.0,108.4,18.3,16.4,0.6752008032128514,0.002008032128514056,17.37403822288409,1.737403822288409,4.83,203000.0,110.1,20.8,16.2,0.7083743842364532,0.002955665024630542,19.36515955207544,1.936515955207544,3.7399999999999998,196800.0,102.0,16.7,16.3,0.7515243902439024,0.003048780487804878,15.143866733972741,1.5143866733972742,5.26,233500.0,91.1,15.2,14.7,0.7897216274089935,0.0021413276231263384,8.368901163277261,0.8368901163277261,4.784,95.24000000000001,15.7,14.3,0.7592746932307769,0.0028782549116578753,12.074113910870626,1.2074113910870625,0.6559999999999997
Черкаська область,Пшениця,2020,4.35,183500.0,112.2,16.8,16.0,0.6724795640326976,0.0027247956403269754,22.255192878338278,2.2255192878338277,5.4399999999999995,199200.0,108.4,18.3,16.4,0.6752008032128514,0.002008032128514056,17.37403822288409,1.737403822288409,4.83,203000.0,110.1,20.8,16.2,0.7083743842364532,0.002955665024630542,19.36515955207544,1.936515955207544,3.7399999999999998,196800.0,102.0,16.7,16.3,0.7515243902439024,0.003048780487804878,15.143866733972741,1.5143866733972742,4.864,98.72,16.64,15.3,0.7397953486402358,0.0024235340300343302,13.882810259212855,1.3882810259212852,-0.5140000000000002
Черкаська область,Пшениця,2021,5.39,227800.0,116.4,15.6,15.0,0.6760316066725197,0.0013169446883230904,14.908350305498981,1.490835030549898,4.35,183500.0,112.2,16.8,16.0,0.6724795640326976,0.0027247956403269754,22.255192878338278,2.2255192878338277,5.4399999999999995,199200.0,108.4,18.3,16.4,0.6752008032128514,0.002008032128514056,17.37403822288409,1.737403822288409,4.83,203000.0,110.1,20.8,16.2,0.7083743842364532,0.002955665024630542,19.36515955207544,1.936515955207544,4.723999999999999,104.76000000000002,17.560000000000002,15.919999999999998,0.7194601538269796,0.002575720180880558,16.501431710109564,1.6501431710109564,0.6660000000000004
Черкаська область,Пшениця,2022,4.64,219100.0,130.6,22.6,27.8,0.6786855317206755,0.0027384755819260614,18.12191103789127,1.812191103789127,5.39,227800.0,116.4,15.6,15.0,0.6760316066725197,0.0013169446883230904,14.908350305498981,1.490835030549898,4.35,183500.0,112.2,16.8,16.0,0.6724795640326976,0.0027247956403269754,22.255192878338278,2.2255192878338277,5.4399999999999995,199200.0,108.4,18.3,16.4,0.6752008032128514,0.002008032128514056,17.37403822288409,1.737403822288409,4.75,109.82000000000001,17.64,15.98,0.6967221496796848,0.0024108435939199082,17.80932153855391,1.7809321538553906,-0.11000000000000032
Черкаська область,Пшениця,2023,5.67,205500.0,97.2,9.8,9.0,0.6223844282238443,0.00291970802919708,21.8283275890366,2.1828327589036602,4.64,219100.0,130.6,22.6,27.8,0.6786855317206755,0.0027384755819260614,18.12191103789127,1.812191103789127,5.39,227800.0,116.4,15.6,15.0,0.6760316066725197,0.0013169446883230904,14.908350305498981,1.490835030549898,4.35,183500.0,112.2,16.8,16.0,0.6724795640326976,0.0027247956403269754,22.255192878338278,2.2255192878338277,4.93,115.54,18.82,18.279999999999998,0.6821543779750395,0.002348782612744145,18.404930399337612,1.8404930399337611,0.7400000000000002
Черкаська область,Пшениця,2024,5.7700000000000005,180900.0,102.4,13.2,12.4,0.619126589275843,0.002763957987838585,25.192844247497128,2.5192844247497126,5.67,205500.0,97.2,9.8,9.0,0.6223844282238443,0.00291970802919708,21.8283275890366,2.1828327589036602,4.64,219100.0,130.6,22.6,27.8,0.6786855317206755,0.0027384755819260614,18.12191103789127,1.812191103789127,5.39,227800.0,116.4,15.6,15.0,0.6760316066725197,0.0013169446883230904,14.908350305498981,1.490835030549898,5.098,112.96,16.62,16.839999999999996,0.6649563867725177,0.0023415912136574525,18.897564006729844,1.8897564006729843,0.6720000000000006
Черкаська область,Соняшник,2010,2.09,145200.0,27.8,17.6,12.6,0.6749311294765841,0.006887052341597796,4.169446297531688,0.4169446297531688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Черкаська область,Соняшник,2011,2.21,157800.0,35.5,15.2,15.3,0.7389100126742713,0.005069708491761723,4.97471188127021,0.49747118812702096,2.09,145200.0,27.8,17.6,12.6,0.6749311294765841,0.006887052341597796,4.169446297531688,0.4169446297531688,,,,,,,,,,,,,,,,,,,,,,,,,,,
