region,group_or_crop,year,Yield_t_ha,Area_ha,N_kg_ha,P2O5_kg_ha,K_kg_ha,Mineral_treated_share,Org_kg_ha_or_share,Irrig_m3_ha,Irrig_mm,Yield_t_ha_lag1,Area_ha_lag1,N_kg_ha_lag1,P2O5_kg_ha_lag1,K_kg_ha_lag1,Mineral_treated_share_lag1,Org_kg_ha_or_share_lag1,Irrig_m3_ha_lag1,Irrig_mm_lag1,Yield_t_ha_lag2,Area_ha_lag2,N_kg_ha_lag2,P2O5_kg_ha_lag2,K_kg_ha_lag2,Mineral_treated_share_lag2,Org_kg_ha_or_share_lag2,Irrig_m3_ha_lag2,Irrig_mm_lag2,Yield_t_ha_lag3,Area_ha_lag3,N_kg_ha_lag3,P2O5_kg_ha_lag3,K_kg_ha_lag3,Mineral_treated_share_lag3,Org_kg_ha_or_share_lag3,Irrig_m3_ha_lag3,Irrig_mm_lag3,ma5_Yield,ma5_N,ma5_P2O5,ma5_K,ma5_MineralShare,ma5_Org,ma5_Irrig_m3,ma5_Irrig_mm,Yield_anom
Полтавська область,Соняшник,2012,2.29,241500.0,30.2,12.8,9.0,0.6467908902691512,0.0012422360248447205,,,2.32,233800.0,29.6,12.6,9.8,0.6544054747647562,0.00213857998289136,,,1.97,236700.0,27.8,11.3,7.9,0.6168145331643431,0.0016899028305872412,,,,,,,,,,,,,,,,,,,,
Полтавська область,Соняшник,2013,2.92,250300.0,31.6,16.3,14.1,0.6791849780263683,0.003595685177786656,,,2.29,241500.0,30.2,12.8,9.0,0.6467908902691512,0.0012422360248447205,,,2.32,233800.0,29.6,12.6,9.8,0.6544054747647562,0.00213857998289136,,,1.97,236700.0,27.8,11.3,7.9,0.6168145331643431,0.0016899028305872412,,,,,,,,,,,
Полтавська область,Соняшник,2014,2.5,284300.0,38.0,15.0,15.0,0.6669011607456912,0.002110446711220542,,,2.92,250300.0,31.6,16.3,14.1,0.6791849780263683,0.003595685177786656,,,2.29,241500.0,30.2,12.8,9.0,0.6467908902691512,0.0012422360248447205,,,2.32,233800.0,29.6,12.6,9.8,0.6544054747647562,0.00213857998289136,,,,,,,,,,,
Полтавська область,Соняшник,2015,2.69,315200.0,37.8,14.0,12.2,0.6621192893401016,0.0015862944162436548,0.5814629608093964,0.058146296080939644,2.5,284300.0,38.0,15.0,15.0,0.6669011607456912,0.002110446711220542,,,2.92,250300.0,31.6,16.3,14.1,0.6791849780263683,0.003595685177786656,,,2.29,241500.0,30.2,12.8,9.0,0.6467908902691512,0.0012422360248447205,,,2.4,31.439999999999998,13.6,11.16,0.652819407394062,0.0021553701454661038,,,0.29000000000000004
Полтавська область,Соняшник,2016,2.6399999999999997,312500.0,39.6,17.8,15.6,0.70016,0.00128,1.7445917655268668,0.17445917655268667,2.69,315200.0,37.8,14.0,12.2,0.6621192893401016,0.0015862944162436548,0.5814629608093964,0.058146296080939644,2.5,284300.0,38.0,15.0,15.0,0.6669011607456912,0.002110446711220542,,,2.92,250300.0,31.6,16.3,14.1,0.6791849780263683,0.003595685177786656,,,2.5439999999999996,33.44,14.14,12.02,0.6618803586292137,0.0021346484625973865,,,0.09600000000000009
Полтавська область,Соняшник,2017,2.35,311700.0,45.6,21.2,17.2,0.7388514597369266,0.0016041065126724415,4.060324825986079,0.4060324825986079,2.6399999999999997,312500.0,39.6,17.8,15.6,0.70016,0.00128,1.7445917655268668,0.17445917655268667,2.69,315200.0,37.8,14.0,12.2,0.6621192893401016,0.0015862944162436548,0.5814629608093964,0.058146296080939644,2.5,284300.0,38.0,15.0,15.0,0.6669011607456912,0.002110446711220542,,,2.6079999999999997,35.44,15.180000000000001,13.179999999999998,0.6710312636762625,0.0019629324660191145,,,-0.25799999999999956
Полтавська область,Соняшник,2018,2.8600000000000003,329800.0,47.6,22.5,16.9,0.6989084293511219,0.0018192844147968466,3.4904013961605584,0.34904013961605584,2.35,311700.0,45.6,21.2,17.2,0.7388514597369266,0.0016041065126724415,4.060324825986079,0.4060324825986079,2.6399999999999997,312500.0,39.6,17.8,15.6,0.70016,0.00128,1.7445917655268668,0.17445917655268667,2.69,315200.0,37.8,14.0,12.2,0.6621192893401016,0.0015862944162436548,0.5814629608093964,0.058146296080939644,2.62,38.52,16.86,14.819999999999999,0.6894433775698176,0.0020353065635846587,,,0.2400000000000002
Полтавська область,Соняшник,2019,3.0300000000000002,323600.0,48.3,21.2,16.6,0.7101359703337453,0.002781211372064277,4.0607959159995355,0.40607959159995355,2.8600000000000003,329800.0,47.6,22.5,16.9,0.6989084293511219,0.0018192844147968466,3.4904013961605584,0.34904013961605584,2.35,311700.0,45.6,21.2,17.2,0.7388514597369266,0.0016041065126724415,4.060324825986079,0.4060324825986079,2.6399999999999997,312500.0,39.6,17.8,15.6,0.70016,0.00128,1.7445917655268668,0.17445917655268667,2.6079999999999997,41.72,18.1,15.38,0.6933880678347683,0.0016800264109866968,,,0.4220000000000006
Полтавська область,Соняшник,2020,2.54,383600.0,57.3,20.3,18.3,0.7155891553701773,0.0013034410844629822,4.6298975635164075,0.46298975635164075,3.0300000000000002,323600.0,48.3,21.2,16.6,0.7101359703337453,0.002781211372064277,4.0607959159995355,0.40607959159995355,2.8600000000000003,329800.0,47.6,22.5,16.9,0.6989084293511219,0.0018192844147968466,3.4904013961605584,0.34904013961605584,2.35,311700.0,45.6,21.2,17.2,0.7388514597369266,0.0016041065126724415,4.060324825986079,0.4060324825986079,2.714,43.78,19.34,15.7,0.7020350297523791,0.0018141793431554441,2.787515372896487,0.2787515372896487,-0.17399999999999993
Полтавська область,Соняшник,2021,2.57,387500.0,61.6,23.7,25.7,0.704,0.001032258064516129,6.030670265923841,0.6030670265923841,2.54,383600.0,57.3,20.3,18.3,0.7155891553701773,0.0013034410844629822,4.6298975635164075,0.46298975635164075,3.0300000000000002,323600.0,48.3,21.2,16.6,0.7101359703337453,0.002781211372064277,4.0607959159995355,0.40607959159995355,2.8600000000000003,329800.0,47.6,22.5,16.9,0.6989084293511219,0.0018192844147968466,3.4904013961605584,0.34904013961605584,2.684,47.68,20.6,16.919999999999998,0.7127290029583941,0.0017576086767993094,3.5972022934378893,0.35972022934378894,-0.11400000000000032
Полтавська область,Соняшник,2022,2.81,442300.0,46.4,15.4,17.2,0.6294370336875424,0.0011304544426859599,3.2934650719362106,0.3293465071936211,2.57,387500.0,61.6,23.7,25.7,0.704,0.001032258064516129,6.030670265923841,0.6030670265923841,2.54,383600.0,57.3,20.3,18.3,0.7155891553701773,0.0013034410844629822,4.6298975635164075,0.46298975635164075,3.0300000000000002,323600.0,48.3,21.2,16.6,0.7101359703337453,0.002781211372064277,4.0607959159995355,0.40607959159995355,2.67,52.08,21.78,18.94,0.7134970029583941,0.001708060289702535,4.454417993517284,0.4454417993517284,0.14000000000000012
Полтавська область,Соняшник,2023,2.57,397800.0,30.4,7.2,6.4,0.5889894419306184,0.0015082956259426848,3.860336483060613,0.3860336483060613,2.81,442300.0,46.4,15.4,17.2,0.6294370336875424,0.0011304544426859599,3.2934650719362106,0.3293465071936211,2.57,387500.0,61.6,23.7,25.7,0.704,0.001032258064516129,6.030670265923841,0.6030670265923841,2.54,383600.0,57.3,20.3,18.3,0.7155891553701773,0.0013034410844629822,4.6298975635164075,0.46298975635164075,2.762,52.239999999999995,20.619999999999997,18.94,0.6916141177485174,0.001613329875705239,4.301046042707311,0.430104604270731,-0.19200000000000017
Полтавська область,Соняшник,2024,2.46,386500.0,37.3,9.3,7.4,0.5759379042690815,0.0015523932729624838,7.432588153952524,0.7432588153952524,2.57,397800.0,30.4,7.2,6.4,0.5889894419306184,0.0015082956259426848,3.860336483060613,0.3860336483060613,2.81,442300.0,46.4,15.4,17.2,0.6294370336875424,0.0011304544426859599,3.2934650719362106,0.3293465071936211,2.57,387500.0,61.6,23.7,25.7,0.704,0.001032258064516129,6.030670265923841,0.6030670265923841,2.7039999999999997,48.8,17.56,16.84,0.6696303202644167,0.0015511321179344066,4.375033060087322,0.4375033060087322,-0.24399999999999977
